opportunity_id,stage,entered_date,exited_date,days_in_stage
OPP-00001,Discovery,2022-09-26,2022-10-18,22.0
OPP-00001,Qualification,2022-10-18,2022-11-02,15.0
OPP-00001,Proof of Concept,2022-11-02,2023-01-08,67.0
OPP-00001,Negotiation,2023-01-08,2023-01-19,11.0
OPP-00002,Discovery,2022-10-22,2022-10-27,5.0
OPP-00002,Qualification,2022-10-27,2022-11-10,14.0
OPP-00002,Proof of Concept,2022-11-10,2022-12-26,46.0
OPP-00002,Negotiation,2022-12-26,2023-01-12,17.0
OPP-00003,Discovery,2022-11-25,2022-12-02,7.0
OPP-00003,Qualification,2022-12-02,2022-12-17,15.0
OPP-00003,Proof of Concept,2022-12-17,2022-12-23,6.0
OPP-00003,Negotiation,2022-12-23,2023-01-05,13.0
OPP-00004,Discovery,2022-10-14,2022-10-20,6.0
OPP-00004,Qualification,2022-10-20,2022-12-02,43.0
OPP-00004,Proof of Concept,2022-12-02,2022-12-18,16.0
OPP-00004,Negotiation,2022-12-18,2023-01-06,19.0
OPP-00005,Discovery,2022-11-20,2022-11-27,7.0
OPP-00005,Qualification,2022-11-27,2022-12-13,16.0
OPP-00005,Proof of Concept,2022-12-13,2022-12-28,15.0
OPP-00005,Negotiation,2022-12-28,2023-01-10,13.0
OPP-00006,Discovery,2022-12-13,2022-12-19,6.0
OPP-00006,Qualification,2022-12-19,2022-12-26,7.0
OPP-00006,Proof of Concept,2022-12-26,2022-12-30,4.0
OPP-00006,Negotiation,2022-12-30,2023-01-04,5.0
OPP-00007,Discovery,2022-12-14,2022-12-24,10.0
OPP-00007,Qualification,2022-12-24,2022-12-31,7.0
OPP-00007,Proof of Concept,2022-12-31,2023-01-17,17.0
OPP-00007,Negotiation,2023-01-17,2023-01-18,1.0
OPP-00008,Discovery,2022-07-21,2022-08-19,29.0
OPP-00008,Qualification,2022-08-19,2022-09-11,23.0
OPP-00008,Proof of Concept,2022-09-11,2023-01-04,115.0
OPP-00008,Negotiation,2023-01-04,2023-01-08,4.0
OPP-00009,Discovery,2022-12-10,2022-12-24,14.0
OPP-00009,Qualification,2022-12-24,2023-01-10,17.0
OPP-00009,Proof of Concept,2023-01-10,2023-01-18,8.0
OPP-00009,Negotiation,2023-01-18,2023-01-22,4.0
OPP-00010,Discovery,2022-11-19,2022-12-06,17.0
OPP-00010,Qualification,2022-12-06,2022-12-15,9.0
OPP-00010,Proof of Concept,2022-12-15,2022-12-29,14.0
OPP-00010,Negotiation,2022-12-29,2023-01-04,6.0
OPP-00011,Discovery,2022-11-27,2022-12-06,9.0
OPP-00011,Qualification,2022-12-06,2022-12-18,12.0
OPP-00011,Proof of Concept,2022-12-18,2022-12-25,7.0
OPP-00011,Negotiation,2022-12-25,2023-01-16,22.0
OPP-00012,Discovery,2022-12-04,2022-12-11,7.0
OPP-00012,Qualification,2022-12-11,2022-12-18,7.0
OPP-00012,Proof of Concept,2022-12-18,2023-01-03,16.0
OPP-00012,Negotiation,2023-01-03,2023-01-12,9.0
OPP-00013,Discovery,2022-12-13,2023-01-02,20.0
OPP-00013,Qualification,2023-01-02,2023-01-06,4.0
OPP-00013,Proof of Concept,2023-01-06,2023-01-23,17.0
OPP-00013,Negotiation,2023-01-23,2023-01-24,1.0
OPP-00014,Discovery,2022-11-06,2022-11-20,14.0
OPP-00014,Qualification,2022-11-20,2022-11-26,6.0
OPP-00014,Proof of Concept,2022-11-26,2022-12-25,29.0
OPP-00014,Negotiation,2022-12-25,2023-01-18,24.0
OPP-00015,Discovery,2022-12-22,2023-01-05,14.0
OPP-00015,Qualification,2023-01-05,2023-01-07,2.0
OPP-00015,Proof of Concept,2023-01-07,2023-01-12,5.0
OPP-00015,Negotiation,2023-01-12,2023-01-21,9.0
OPP-00016,Discovery,2022-12-22,2022-12-26,4.0
OPP-00016,Qualification,2022-12-26,2023-01-07,12.0
OPP-00016,Proof of Concept,2023-01-07,2023-01-12,5.0
OPP-00016,Negotiation,2023-01-12,2023-01-19,7.0
OPP-00017,Discovery,2022-12-07,2022-12-21,14.0
OPP-00017,Qualification,2022-12-21,2023-01-10,20.0
OPP-00017,Proof of Concept,2023-01-10,2023-01-22,12.0
OPP-00017,Negotiation,2023-01-22,2023-01-26,4.0
OPP-00018,Discovery,2023-01-13,2023-01-20,7.0
OPP-00018,Qualification,2023-01-20,2023-01-26,6.0
OPP-00018,Proof of Concept,2023-01-26,2023-02-01,6.0
OPP-00018,Negotiation,2023-02-01,2023-02-08,7.0
OPP-00019,Discovery,2022-11-14,2022-12-09,25.0
OPP-00019,Qualification,2022-12-09,2022-12-15,6.0
OPP-00019,Proof of Concept,2022-12-15,2023-01-14,30.0
OPP-00019,Negotiation,2023-01-14,2023-02-03,20.0
OPP-00020,Discovery,2023-01-15,2023-01-20,5.0
OPP-00020,Qualification,2023-01-20,2023-01-26,6.0
OPP-00020,Proof of Concept,2023-01-26,2023-02-10,15.0
OPP-00020,Negotiation,2023-02-10,2023-02-16,6.0
OPP-00021,Discovery,2022-10-28,2022-11-03,6.0
OPP-00021,Qualification,2022-11-03,2022-11-16,13.0
OPP-00021,Proof of Concept,2022-11-16,2023-01-26,71.0
OPP-00021,Negotiation,2023-01-26,2023-02-02,7.0
OPP-00022,Discovery,2022-12-30,2023-01-15,16.0
OPP-00022,Qualification,2023-01-15,2023-02-01,17.0
OPP-00022,Proof of Concept,2023-02-01,2023-02-14,13.0
OPP-00022,Negotiation,2023-02-14,2023-02-22,8.0
OPP-00023,Discovery,2023-01-09,2023-01-12,3.0
OPP-00023,Qualification,2023-01-12,2023-01-21,9.0
OPP-00023,Proof of Concept,2023-01-21,2023-01-27,6.0
OPP-00023,Negotiation,2023-01-27,2023-02-01,5.0
OPP-00024,Discovery,2023-01-10,2023-01-27,17.0
OPP-00024,Qualification,2023-01-27,2023-02-03,7.0
OPP-00024,Proof of Concept,2023-02-03,2023-02-15,12.0
OPP-00024,Negotiation,2023-02-15,2023-02-19,4.0
OPP-00025,Discovery,2023-01-02,2023-01-08,6.0
OPP-00025,Qualification,2023-01-08,2023-01-20,12.0
OPP-00025,Proof of Concept,2023-01-20,2023-02-01,12.0
OPP-00025,Negotiation,2023-02-01,2023-02-09,8.0
OPP-00026,Discovery,2022-11-22,2022-12-06,14.0
OPP-00026,Qualification,2022-12-06,2022-12-25,19.0
OPP-00026,Proof of Concept,2022-12-25,2023-01-30,36.0
OPP-00026,Negotiation,2023-01-30,2023-02-15,16.0
